"CASE_ID","CASE_UUID","CASE_NUMBER","COMPANY_ID","CASE_TYPE","CASE_PRIORITY","CASE_TITLE","CASE_SUMMARY","TOTAL_FLAGGED_AMOUNT","TRANSACTION_COUNT","ALERT_COUNT","STATUS","OUTCOME","ASSIGNED_ANALYST","REVIEWING_MANAGER","OPENED_AT","DUE_DATE","CLOSED_AT","SAR_FILED","SAR_FILING_DATE","SAR_REFERENCE","CREATED_AT","UPDATED_AT"
1709,"8917fb29-25ee-4655-9a49-bff1751840aa",CASE-000209,2633,SAR,LOW,SAR - Company 143,Case opened based on risk alerts,56533.85,2,2,CLOSED,SAR_FILED,analyst_6,manager_4,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,2026-06-19,SAR-552424,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1719,e829fce5-102c-4614-84ca-219604e37996,CASE-000219,1445,SAR,MEDIUM,SAR - Company 3449,Case opened based on risk alerts,150915.07,5,5,CLOSED,SAR_FILED,analyst_2,manager_2,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,2026-06-19,SAR-985611,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1726,fa925587-dbf9-4eff-8698-19d788633a2d,CASE-000226,3332,SAR,MEDIUM,SAR - Company 2743,Case opened based on risk alerts,0.00,0,0,CLOSED,SAR_FILED,analyst_2,manager_5,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,true,2026-06-19,SAR-195129,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1728,"15d205f1-9487-4960-bcea-fc2bc9304a47",CASE-000228,1248,SAR,HIGH,SAR - Company 2162,Case opened based on risk alerts,0.00,0,0,CLOSED,CLEARED,analyst_5,manager_2,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1732,"08f122ba-fa42-43f3-b0a6-35af995d51fe",CASE-000232,566,SAR,HIGH,SAR - Company 2783,Case opened based on risk alerts,106823.57,4,4,CLOSED,SAR_FILED,analyst_6,manager_3,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,true,2026-06-19,SAR-127434,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1747,"3bf658d0-1cf6-4700-b81f-8033207d481a",CASE-000247,885,SAR,MEDIUM,SAR - Company 2889,Case opened based on risk alerts,10362.00,2,2,CLOSED,MONITORING,analyst_10,manager_1,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1759,c85888f3-edb1-4872-9d1c-59cacdda1670,CASE-000259,4835,SAR,MEDIUM,SAR - Company 501,Case opened based on risk alerts,9130.93,1,1,OPEN,,analyst_9,manager_4,2026-05-25 16:17:32.000,2026-07-24,,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1768,a6ec407c-a02f-46e1-a554-597c20e3eaf7,CASE-000268,1483,SAR,HIGH,SAR - Company 2295,Case opened based on risk alerts,163211.18,3,3,CLOSED,ACCOUNT_CLOSED,analyst_3,manager_1,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1775,f467fdff-00e8-48ed-bad8-f27ecdba1478,CASE-000275,1015,SAR,MEDIUM,SAR - Company 3964,Case opened based on risk alerts,30951.73,2,2,CLOSED,SAR_FILED,analyst_5,manager_1,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,true,2026-06-19,SAR-744745,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1778,"193d7abc-1edc-4466-9af6-3ecc9f56be4b",CASE-000278,2180,SAR,MEDIUM,SAR - Company 4088,Case opened based on risk alerts,303660.06,4,4,CLOSED,ACCOUNT_CLOSED,analyst_3,manager_5,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1779,"76d466c6-7316-458a-a35a-a9fe265d034d",CASE-000279,3148,SAR,MEDIUM,SAR - Company 3697,Case opened based on risk alerts,26319.50,2,2,CLOSED,MONITORING,analyst_6,manager_3,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1787,c03bb5c9-eaf6-4d9f-9876-c80d30928995,CASE-000287,750,SAR,MEDIUM,SAR - Company 1319,Case opened based on risk alerts,10758.83,2,2,CLOSED,CLEARED,analyst_4,manager_1,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1788,ab2fc6c0-1859-4c20-87c1-d08991c0d3d4,CASE-000288,3530,SAR,HIGH,SAR - Company 203,Case opened based on risk alerts,0.00,0,0,CLOSED,MONITORING,analyst_3,manager_5,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1797,"8220740c-8efc-43a0-bbe9-06aa9fea019d",CASE-000297,35,SAR,LOW,SAR - Company 3338,Case opened based on risk alerts,7372.40,1,1,CLOSED,CLEARED,analyst_9,manager_1,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1799,"14cf106d-32ed-4903-8c62-339da58faa08",CASE-000299,3591,SAR,MEDIUM,SAR - Company 1208,Case opened based on risk alerts,17312.23,2,2,CLOSED,ACCOUNT_CLOSED,analyst_2,manager_1,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1809,"4f5ba035-9dc3-4bf9-90da-67e02e588ab8",CASE-000309,3079,SAR,LOW,SAR - Company 881,Case opened based on risk alerts,45782.40,4,4,OPEN,,analyst_7,manager_1,2026-05-25 16:17:32.000,2026-07-24,,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1818,"527bb13c-9f9c-4216-bd54-0008794e4d78",CASE-000318,4488,SAR,MEDIUM,SAR - Company 4748,Case opened based on risk alerts,19863.00,1,1,OPEN,,analyst_7,manager_3,2026-05-25 16:17:32.000,2026-07-24,,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1829,"84718c9b-0236-4140-9726-f20e064d7f50",CASE-000329,1124,SAR,LOW,SAR - Company 2701,Case opened based on risk alerts,9419.78,1,1,CLOSED,SAR_FILED,analyst_4,manager_5,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,2026-06-19,SAR-140371,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1837,f0d19f48-37d4-4fff-8ecf-96e002ef7324,CASE-000337,1437,SAR,LOW,SAR - Company 2334,Case opened based on risk alerts,6922.37,1,1,CLOSED,MONITORING,analyst_2,manager_4,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1838,cc10dd4a-467b-425a-a2d7-05b03e0fb112,CASE-000338,3584,SAR,MEDIUM,SAR - Company 380,Case opened based on risk alerts,5360.27,2,2,OPEN,,analyst_4,manager_2,2026-05-25 16:17:32.000,2026-07-24,,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1867,"5a2d9607-6546-4c65-96c1-58064dd35d3a",CASE-000367,2150,SAR,MEDIUM,SAR - Company 4940,Case opened based on risk alerts,2345.09,1,1,CLOSED,CLEARED,analyst_6,manager_3,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1868,"55de73c6-2667-44d9-aa01-58050fdff9f0",CASE-000368,3108,SAR,HIGH,SAR - Company 3425,Case opened based on risk alerts,0.00,0,0,CLOSED,ACCOUNT_CLOSED,analyst_8,manager_4,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1875,b1bfdf32-ff00-42ac-be70-9b9ccbd3d03e,CASE-000375,4421,SAR,MEDIUM,SAR - Company 1880,Case opened based on risk alerts,0.00,0,0,CLOSED,SAR_FILED,analyst_2,manager_4,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,true,2026-06-19,SAR-805646,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1878,c0441b8f-a6e3-415d-a9f6-1daee390ce78,CASE-000378,3478,SAR,MEDIUM,SAR - Company 676,Case opened based on risk alerts,0.00,0,0,OPEN,,analyst_6,manager_4,2026-05-25 16:17:32.000,2026-07-24,,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1887,"82fa5a3f-316a-419a-871b-eddbdb467039",CASE-000387,530,SAR,MEDIUM,SAR - Company 488,Case opened based on risk alerts,124860.47,3,3,CLOSED,MONITORING,analyst_3,manager_4,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1889,f3fa3023-3e15-41af-9675-3b213c12548b,CASE-000389,3968,SAR,LOW,SAR - Company 2774,Case opened based on risk alerts,0.00,0,0,CLOSED,SAR_FILED,analyst_10,manager_4,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,2026-06-19,SAR-418325,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1890,b8aec964-54a0-4e6a-a2d8-9d231b48e734,CASE-000390,4770,SAR,MEDIUM,SAR - Company 757,Case opened based on risk alerts,0.00,0,0,CLOSED,SAR_FILED,analyst_8,manager_2,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,true,2026-06-19,SAR-813229,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1896,c6ec1f66-02dd-4623-bab4-da021ee0feb7,CASE-000396,4583,SAR,HIGH,SAR - Company 109,Case opened based on risk alerts,0.00,0,0,CLOSED,SAR_FILED,analyst_6,manager_3,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,true,2026-06-19,SAR-566612,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1897,"067a92f9-a37a-43bc-9c14-e9fe0cc89e5b",CASE-000397,767,SAR,LOW,SAR - Company 337,Case opened based on risk alerts,272352.90,2,2,CLOSED,MONITORING,analyst_7,manager_5,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1909,cf61f759-1e23-452b-9daa-ed8b20efea9a,CASE-000409,3908,SAR,LOW,SAR - Company 1504,Case opened based on risk alerts,0.00,0,0,CLOSED,CLEARED,analyst_6,manager_5,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1916,cd50a22a-5101-44c9-8c6c-d88990a4a48f,CASE-000416,3833,SAR,HIGH,SAR - Company 1185,Case opened based on risk alerts,49498.52,3,3,CLOSED,SAR_FILED,analyst_3,manager_1,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,true,2026-06-19,SAR-202081,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1919,"15edc56f-1e78-46d0-ae9b-1cbc0dc01618",CASE-000419,748,SAR,MEDIUM,SAR - Company 891,Case opened based on risk alerts,0.00,0,0,CLOSED,CLEARED,analyst_10,manager_5,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1922,"585c0c25-b147-44c6-92cb-7a83876a628b",CASE-000422,1101,SAR,MEDIUM,SAR - Company 3602,Case opened based on risk alerts,235079.83,1,1,CLOSED,SAR_FILED,analyst_1,manager_3,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,true,2026-06-19,SAR-088092,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1929,bc5645ca-8c05-45e9-976a-df68e9ddbeaf,CASE-000429,1776,SAR,LOW,SAR - Company 1439,Case opened based on risk alerts,0.00,0,0,CLOSED,SAR_FILED,analyst_5,manager_1,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,2026-06-19,SAR-410721,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1943,a89f812f-1a4a-44d6-8a8d-3d4ec13ce2ec,CASE-000443,4537,SAR,MEDIUM,SAR - Company 4002,Case opened based on risk alerts,5984.91,1,1,CLOSED,SAR_FILED,analyst_8,manager_2,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,true,2026-06-19,SAR-812921,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1947,ff2ef1e2-8970-410d-91f4-9e8869b806ae,CASE-000447,3329,SAR,MEDIUM,SAR - Company 2442,Case opened based on risk alerts,3415.77,2,2,CLOSED,ACCOUNT_CLOSED,analyst_9,manager_5,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1948,"470b12c2-afee-4b48-913d-514445a10762",CASE-000448,2610,SAR,HIGH,SAR - Company 2241,Case opened based on risk alerts,7224.84,1,1,CLOSED,SAR_FILED,analyst_6,manager_5,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,2026-06-19,SAR-853574,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1949,"0e6e856b-2bee-490a-a95c-bf1c2e8addc0",CASE-000449,1445,SAR,LOW,SAR - Company 707,Case opened based on risk alerts,98927.66,3,3,CLOSED,ACCOUNT_CLOSED,analyst_4,manager_4,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1957,d36c408f-7ac9-417c-a12b-a2d17f34bd8d,CASE-000457,1372,SAR,LOW,SAR - Company 536,Case opened based on risk alerts,6679.99,1,1,CLOSED,MONITORING,analyst_10,manager_3,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1959,"2859a47e-b51e-48fa-a1c0-ec81633e1290",CASE-000459,4636,SAR,MEDIUM,SAR - Company 537,Case opened based on risk alerts,29.63,1,1,CLOSED,ACCOUNT_CLOSED,analyst_5,manager_3,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1972,"681be091-bf8e-4502-b9dc-718f919dbf55",CASE-000472,185,SAR,HIGH,SAR - Company 2069,Case opened based on risk alerts,3769.31,1,1,CLOSED,SAR_FILED,analyst_2,manager_3,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,true,2026-06-19,SAR-321890,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1977,"552ae48c-343d-4c3b-b1c3-8c749730e7ac",CASE-000477,4964,SAR,LOW,SAR - Company 1883,Case opened based on risk alerts,0.00,0,0,OPEN,,analyst_5,manager_4,2026-05-25 16:17:32.000,2026-07-24,,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1979,"8dfca463-9f88-49ad-b307-0c1957752a3b",CASE-000479,459,SAR,MEDIUM,SAR - Company 2875,Case opened based on risk alerts,81582.01,4,4,CLOSED,SAR_FILED,analyst_10,manager_4,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,2026-06-19,SAR-851412,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1987,"6c3bbd54-ccdb-44f6-8bfb-937daed696bc",CASE-000487,1170,SAR,MEDIUM,SAR - Company 4819,Case opened based on risk alerts,4425000.30,1,1,OPEN,,analyst_6,manager_2,2026-05-25 16:17:32.000,2026-07-24,,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1988,c5aec35f-190a-4f8f-8986-fe5cc0e9426a,CASE-000488,3926,SAR,HIGH,SAR - Company 3410,Case opened based on risk alerts,62209.01,2,2,CLOSED,SAR_FILED,analyst_2,manager_5,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,2026-06-19,SAR-107883,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1504,"9f827d9f-57c8-487f-b57d-eb7526f87fdf",CASE-000004,1083,INVESTIGATION,HIGH,INVESTIGATION - Company 750,Case opened based on risk alerts,0.00,0,0,OPEN,,analyst_2,manager_4,2026-05-25 16:17:32.000,2026-07-24,,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1505,"372c6c80-ba1a-4e5e-b4dc-dd94bb0f11de",CASE-000005,4773,INVESTIGATION,LOW,INVESTIGATION - Company 3545,Case opened based on risk alerts,19516.25,1,1,OPEN,,analyst_6,manager_5,2026-05-25 16:17:32.000,2026-07-24,,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1507,"89188f19-e7a9-4125-b9d1-fa566907817a",CASE-000007,3277,INVESTIGATION,MEDIUM,INVESTIGATION - Company 1723,Case opened based on risk alerts,0.00,0,0,CLOSED,CLEARED,analyst_2,manager_4,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1508,a540f21e-4176-470d-97a0-812d93eaa8b1,CASE-000008,3154,INVESTIGATION,HIGH,INVESTIGATION - Company 1911,Case opened based on risk alerts,0.00,0,0,OPEN,,analyst_10,manager_2,2026-05-25 16:17:32.000,2026-07-24,,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1509,"57d71645-2bff-40c3-888d-18eeb0df74fc",CASE-000009,4564,INVESTIGATION,LOW,INVESTIGATION - Company 4268,Case opened based on risk alerts,55929.80,1,1,CLOSED,SAR_FILED,analyst_3,manager_1,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,2026-06-19,SAR-832571,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1512,"9f7be42e-d376-4275-97b0-0d64aa7567a3",CASE-000012,3520,INVESTIGATION,HIGH,INVESTIGATION - Company 3567,Case opened based on risk alerts,49498.12,3,3,CLOSED,MONITORING,analyst_2,manager_2,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1514,b3a1235e-bda6-4e4d-bf5c-797f2bdbfb3d,CASE-000014,1989,INVESTIGATION,MEDIUM,INVESTIGATION - Company 51,Case opened based on risk alerts,12819.82,2,2,CLOSED,MONITORING,analyst_2,manager_5,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1515,"1f14dacd-43f1-42bc-b4ab-923b3dc99987",CASE-000015,2142,INVESTIGATION,MEDIUM,INVESTIGATION - Company 4435,Case opened based on risk alerts,0.00,0,0,OPEN,,analyst_2,manager_2,2026-05-25 16:17:32.000,2026-07-24,,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1516,"6ea3d0ef-4f9a-4412-b0de-81d9c34d7afc",CASE-000016,1291,INVESTIGATION,HIGH,INVESTIGATION - Company 4386,Case opened based on risk alerts,14.84,1,1,CLOSED,SAR_FILED,analyst_1,manager_5,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,2026-06-19,SAR-979740,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1517,"64527d39-8ee6-48de-a03b-9878768e4284",CASE-000017,440,INVESTIGATION,LOW,INVESTIGATION - Company 513,Case opened based on risk alerts,41968.49,1,1,CLOSED,CLEARED,analyst_3,manager_1,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1522,"56543adc-df97-4916-85d1-9a42ccae15e2",CASE-000022,2180,INVESTIGATION,MEDIUM,INVESTIGATION - Company 4405,Case opened based on risk alerts,304324.35,4,4,OPEN,,analyst_1,manager_2,2026-05-25 16:17:32.000,2026-07-24,,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
